metric,method_a,method_b,n_a,n_b,ks_stat,p_value,median_a,median_b
iptm,P5-1v2_base,P6-POSENOISE_s03,300,299,0.16521739130434782,0.0004783195198442125,0.9489325881004333,0.961636483669281
iptm,P5-1v2_base,RL_GEOMEAN,300,300,0.15,0.002308793437830372,0.9489325881004333,0.9375032782554626
iptm,P5-1v2_base,mol2mol_baseline,300,142,0.16784037558685447,0.007515119358590335,0.9489325881004333,0.9312096834182739
iptm,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.26520624303233,1.0251238891480706e-09,0.961636483669281,0.9375032782554626
iptm,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.27683828724857507,5.221296012128309e-07,0.961636483669281,0.9312096834182739
iptm,RL_GEOMEAN,mol2mol_baseline,300,142,0.10666666666666667,0.20388765630627068,0.9375032782554626,0.9312096834182739
ligand_iptm,P5-1v2_base,P6-POSENOISE_s03,300,299,0.16521739130434782,0.0004783195198442125,0.9489325881004333,0.961636483669281
ligand_iptm,P5-1v2_base,RL_GEOMEAN,300,300,0.15,0.002308793437830372,0.9489325881004333,0.9375032782554626
ligand_iptm,P5-1v2_base,mol2mol_baseline,300,142,0.16784037558685447,0.007515119358590335,0.9489325881004333,0.9312096834182739
ligand_iptm,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.26520624303233,1.0251238891480706e-09,0.961636483669281,0.9375032782554626
ligand_iptm,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.27683828724857507,5.221296012128309e-07,0.961636483669281,0.9312096834182739
ligand_iptm,RL_GEOMEAN,mol2mol_baseline,300,142,0.10666666666666667,0.20388765630627068,0.9375032782554626,0.9312096834182739
mpae_min,P5-1v2_base,P6-POSENOISE_s03,300,299,0.13821627647714604,0.005957624313958945,1.0354253053665161,0.8987622261047363
mpae_min,P5-1v2_base,RL_GEOMEAN,300,300,0.18,0.00011580724071708764,1.0354253053665161,1.2545852661132812
mpae_min,P5-1v2_base,mol2mol_baseline,300,142,0.17389671361502348,0.004988993332896714,1.0354253053665161,1.2861039638519287
mpae_min,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.2887402452619844,1.7245894305659925e-11,0.8987622261047363,1.2545852661132812
mpae_min,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.2840454095812332,2.3445818760276628e-07,0.8987622261047363,1.2861039638519287
mpae_min,RL_GEOMEAN,mol2mol_baseline,300,142,0.08431924882629108,0.4677457771798895,1.2545852661132812,1.2861039638519287
d_SG,P5-1v2_base,P6-POSENOISE_s03,300,299,0.15840579710144928,0.0009574864976126669,1.806699083974006,1.9191139862446933
d_SG,P5-1v2_base,RL_GEOMEAN,300,300,0.15333333333333332,0.0017015674192205016,1.806699083974006,1.9159988363384235
d_SG,P5-1v2_base,mol2mol_baseline,300,142,0.09558685446009389,0.31625725216288375,1.806699083974006,1.8602598796043321
d_SG,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.06734671125975474,0.4816731206004191,1.9191139862446933,1.9159988363384235
d_SG,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.12000094210749447,0.11279357616043005,1.9191139862446933,1.8602598796043321
d_SG,RL_GEOMEAN,mol2mol_baseline,300,142,0.10967136150234742,0.17949926554513265,1.9159988363384235,1.8602598796043321
burgi_dunitz_dev,P5-1v2_base,P6-POSENOISE_s03,300,299,0.0879375696767001,0.18489612346269396,38.92543636224647,41.17393703703647
burgi_dunitz_dev,P5-1v2_base,RL_GEOMEAN,300,300,0.09666666666666666,0.12122695053622792,38.92543636224647,40.818895167882545
burgi_dunitz_dev,P5-1v2_base,mol2mol_baseline,300,142,0.0811737089201878,0.5159816976679363,38.92543636224647,37.98331144802664
burgi_dunitz_dev,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.09103678929765886,0.15725979367991927,41.17393703703647,40.818895167882545
burgi_dunitz_dev,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.1403975693626643,0.03978452259511274,41.17393703703647,37.98331144802664
burgi_dunitz_dev,RL_GEOMEAN,mol2mol_baseline,300,142,0.12727699530516431,0.07905437922793916,40.818895167882545,37.98331144802664
n_vdw_contacts,P5-1v2_base,P6-POSENOISE_s03,300,299,0.14195094760312152,0.0041198047362557425,20.0,19.0
n_vdw_contacts,P5-1v2_base,RL_GEOMEAN,300,300,0.46,5.226994065745332e-29,20.0,17.0
n_vdw_contacts,P5-1v2_base,mol2mol_baseline,300,142,0.18183098591549296,0.00287317083329474,20.0,19.0
n_vdw_contacts,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.35535117056856186,3.155115331381963e-17,19.0,17.0
n_vdw_contacts,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.07718215648405483,0.5804503898850211,19.0,19.0
n_vdw_contacts,RL_GEOMEAN,mol2mol_baseline,300,142,0.3238967136150235,1.7808022876563185e-09,17.0,19.0
pocket_occupancy_pct,P5-1v2_base,P6-POSENOISE_s03,300,299,0.1449721293199554,0.003317736488659519,92.3076923076923,93.54838709677419
pocket_occupancy_pct,P5-1v2_base,RL_GEOMEAN,300,300,0.27,5.01791941596116e-10,92.3076923076923,95.45454545454545
pocket_occupancy_pct,P5-1v2_base,mol2mol_baseline,300,142,0.10511737089201878,0.21745216947837634,92.3076923076923,91.83333333333334
pocket_occupancy_pct,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.12839464882943144,0.012875190047451066,93.54838709677419,95.45454545454545
pocket_occupancy_pct,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.18877478920344812,0.0017442995116805768,93.54838709677419,91.83333333333334
pocket_occupancy_pct,RL_GEOMEAN,mol2mol_baseline,300,142,0.2703286384976526,1.046126479934153e-06,95.45454545454545,91.83333333333334
tc_mol1,P5-1v2_base,P6-POSENOISE_s03,300,299,0.10573021181716834,0.061304664305654726,0.5060275962236747,0.5142857142857142
tc_mol1,P5-1v2_base,RL_GEOMEAN,300,300,0.15,0.002308793437830372,0.5060275962236747,0.5074626865671642
tc_mol1,P5-1v2_base,mol2mol_baseline,300,142,0.2367605633802817,3.0732697649374316e-05,0.5060275962236747,0.42857142857142855
tc_mol1,P6-POSENOISE_s03,RL_GEOMEAN,299,300,0.12460423634336677,0.017754772526062175,0.5142857142857142,0.5074626865671642
tc_mol1,P6-POSENOISE_s03,mol2mol_baseline,299,142,0.3354373734043054,3.9941740170415564e-10,0.5142857142857142,0.42857142857142855
tc_mol1,RL_GEOMEAN,mol2mol_baseline,300,142,0.330093896713615,8.021693991222546e-10,0.5074626865671642,0.42857142857142855
