uid,method,smiles,warhead_atom,iptm,ligand_iptm,confidence_score,complex_pde,protein_iptm,n_lig_atoms,mpae_min,mpae_5pct,d_SG,burgi_dunitz_dev,geom_ok,n_h_bonds,n_vdw_contacts,pocket_occupancy_pct,valid,mw,logp,qed,has_acryl,tc_mol1
mol2mol_baseline_0001,mol2mol_baseline,C=CC(=O)N1Cc2nccc(C)c2C1,C16,0.9134951233863831,0.9134951233863831,0.8183086514472961,1.2055978775024414,0.0,14,1.7517437934875488,2.521219491958618,1.6910604335150188,49.16092547438706,True,2,11,92.85714285714286,True,188.23,1.41822,0.6243156647906944,True,0.3382352941176471
mol2mol_baseline_0007,mol2mol_baseline,C=CC(=O)N1Cc2cccc(Cl)c2C1,C14,0.8916414976119995,0.8916414976119995,0.820172905921936,1.1753145456314087,0.0,14,2.286539077758789,3.1510167121887207,1.9726568814672252,68.82508705899278,True,0,10,92.85714285714286,True,207.65999999999997,2.3682,0.6478642399958788,True,0.4126984126984127
mol2mol_baseline_0000,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nn3)c2C1,C26,0.9619907140731812,0.9619907140731812,0.8328728079795837,1.1675705909729004,0.0,24,0.9816499352455139,1.6584551334381104,1.958400630055045,66.88500123497232,True,5,17,95.83333333333333,True,325.37200000000007,2.1395,0.8734648517703988,True,0.6119402985074627
mol2mol_baseline_0005,mol2mol_baseline,C=CC(=O)N1Cc2[nH]cnc2C(=O)Nc2ncn(C(C)C)c2C1,C25,0.9661931991577148,0.9661931991577148,0.8427675366401672,1.009611964225769,0.0,23,0.8782237768173218,1.5615226030349731,1.955550225716538,22.184115447411557,True,4,15,95.65217391304348,True,314.3490000000001,1.4675999999999998,0.8204209473523648,True,0.2891566265060241
mol2mol_baseline_0006,mol2mol_baseline,C=CC(=O)N1Cc2ccc(Cl)c(C(=O)Nc3cc(C(C)C)[nH]n3)c2C1,C26,0.9679241180419922,0.9679241180419922,0.8395736813545227,1.2172101736068726,0.0,25,0.9121459126472473,1.5397026538848877,1.9697043148147904,57.329991779057224,True,5,18,100.0,True,358.8290000000001,3.4670000000000014,0.8213095597087969,True,0.4230769230769231
mol2mol_baseline_0002,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)cn3)c2C1,C26,0.9756858944892883,0.9756858944892883,0.8394585847854614,1.17252516746521,0.0,24,0.7809877395629883,1.432159662246704,1.9578290821723954,57.00440536088257,True,3,18,95.83333333333333,True,324.38400000000007,2.7445000000000013,0.8794439335696442,True,0.6363636363636364
mol2mol_baseline_0003,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C(C)C)c3)c2C1,C26,0.9126487970352173,0.9126487970352173,0.8112088441848755,1.192334771156311,0.0,24,1.7334277629852295,2.550041675567627,1.5372348192127312,47.10732918491507,True,3,17,95.83333333333333,True,324.3840000000001,2.7445000000000013,0.8794439335696442,True,0.5882352941176471
mol2mol_baseline_0004,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)n(CC)n3)c2C1,C30,0.9446789622306824,0.9446789622306824,0.8317925333976746,1.2054296731948853,0.0,26,1.2717787027359009,1.942041277885437,1.894486838011811,46.18464651771944,True,2,20,96.15384615384616,True,352.43800000000016,3.3069000000000024,0.8396818047073472,True,0.6231884057971014
mol2mol_baseline_0009,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ncn(C(C)C)n3)c2C1,C26,0.9779859185218811,0.9779859185218811,0.8456579446792603,1.1218034029006958,0.0,24,0.725017786026001,1.3283978700637817,1.9716233947942474,57.934661665373824,True,4,17,95.83333333333333,True,325.3720000000001,2.1395,0.8734648517703988,True,0.5882352941176471
mol2mol_baseline_0008,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4CCCC4)cn3)c2C1,C28,0.9771947264671326,0.9771947264671326,0.8341017961502075,1.1480655670166016,0.0,26,0.679375946521759,1.3853132724761963,1.9589868119515252,21.455974009979514,True,3,20,100.0,True,350.4220000000002,3.2787000000000015,0.8606797030040113,True,0.5492957746478874
