uid,method,smiles,warhead_atom_name
mol2mol_baseline_0000,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nn3)c2C1,C26
mol2mol_baseline_0001,mol2mol_baseline,C=CC(=O)N1Cc2nccc(C)c2C1,C16
mol2mol_baseline_0002,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)cn3)c2C1,C26
mol2mol_baseline_0003,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C(C)C)c3)c2C1,C26
mol2mol_baseline_0004,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)n(CC)n3)c2C1,C30
mol2mol_baseline_0005,mol2mol_baseline,C=CC(=O)N1Cc2[nH]cnc2C(=O)Nc2ncn(C(C)C)c2C1,C25
mol2mol_baseline_0006,mol2mol_baseline,C=CC(=O)N1Cc2ccc(Cl)c(C(=O)Nc3cc(C(C)C)[nH]n3)c2C1,C26
mol2mol_baseline_0007,mol2mol_baseline,C=CC(=O)N1Cc2cccc(Cl)c2C1,C14
mol2mol_baseline_0008,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4CCCC4)cn3)c2C1,C28
mol2mol_baseline_0009,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ncn(C(C)C)n3)c2C1,C26
mol2mol_baseline_0010,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(C)C)n3)c2C1,C26
mol2mol_baseline_0011,mol2mol_baseline,C=CC(=O)N1Cc2c(ccc3ccccc23)C1C(=O)Nc1cc(C(C)(C)C)ccn1,C31
mol2mol_baseline_0012,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cn(C(C)C)cn3)C(C)C)c2C1,C32
mol2mol_baseline_0013,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(=C)C)cn3)c2C1,C24
mol2mol_baseline_0014,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cncn3C(C)C)c2C1,C26
mol2mol_baseline_0015,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3ccn(C(C)C)n3)cn(C(C)C)c2C1,C31
mol2mol_baseline_0016,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cccn3C(C)C)c2C1,C26
mol2mol_baseline_0017,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(-c4cc(C(C)C)no4)no3)c2C1,C29
mol2mol_baseline_0018,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)/C=C/c3cccn3C)c2C1,C23
mol2mol_baseline_0019,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nc4cc(C)cc(C)c4s3)c2C1,C26
mol2mol_baseline_0020,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cn(C(C)C)nn3)c2C1,C26
mol2mol_baseline_0021,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3cn(C(C)C)cn3)cc2C1,C26
mol2mol_baseline_0022,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C1C(=O)Nc1cc(C(C)C)ccn1,C27
mol2mol_baseline_0023,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C)n3)c2C1,C22
mol2mol_baseline_0024,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3ccn(C(C)C)n3)cc2C1,C26
mol2mol_baseline_0025,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccs3)c2CN1C(=O)C=C,C25
mol2mol_baseline_0026,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4CC4)cn3)c2C1,C24
mol2mol_baseline_0027,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cncn3C3CCCC3)c2C1,C28
mol2mol_baseline_0028,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cnn(C(C)C)c3)c3ccccc3n2C1,C27
mol2mol_baseline_0029,mol2mol_baseline,C=CC(=O)N1Cc2oc(-c3ccc(C(C)C)cc3)nc2C[C@H]1C(=O)Nc1ccccc1C(C)C,C38
mol2mol_baseline_0030,mol2mol_baseline,C=CC(=O)N(Cc1ccccc1)Cc1c(C(=O)Nc2ccn(C(C)C)n2)cn(C(C)C)c1C,C39
mol2mol_baseline_0031,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C4CCN(CC)CC4)c3)c2C1,C33
